id,display_name,price,core_count,core_clock,boost_clock,tdp,integrated_graphics,has_smt
e08590fb-10f1-4111-8181-70e484600515,AMD Ryzen 5 3500X,,6,3.6,4.1,65,,0
cde20b48-61c6-491e-ab96-0f3e53c28ca7,AMD Ryzen 3 3300X,189.99,4,3.8,4.3,65,,1
b4d612d8-9bd1-4ff0-a40c-ec94d2525d8f,Intel Core i5-12600,220.82,6,3.3,4.8,65,Intel UHD Graphics 770,1
466c95e5-08c8-4ca4-a28e-dbbf7907440d,Intel Core i5-9400,179.91,6,2.9,4.1,65,Intel UHD Graphics 630,0
cd231db3-cb6d-4411-bb1a-e859614de123,Intel Core i5-11600KF,205.0,6,3.9,4.9,125,,1
6d476c35-3fc5-4713-89ce-b24327c45cae,AMD FX-6300,,6,3.5,,95,,0
4b5d4208-0a5b-4f34-ac5c-5e318fc46bf4,Intel Pentium Gold G7400,80.99,2,3.7,,46,Intel UHD Graphics 710,1
dd8b728e-abac-4baf-afa3-c2c4e4854ad4,AMD Ryzen 3 1200 (14nm),91.08,4,3.1,3.4,65,,0
1089ea6e-cf75-438a-ac0e-8ddfc12f92d4,Intel Core i9-10980XE,1220.0,18,3.0,4.8,165,,1
03fd8a69-193c-4627-bc66-0483148ecaa4,Intel Core i5-6400,,4,2.7,3.3,65,Intel HD Graphics 530,0
2a43921e-2c4f-4c87-bff1-e8199d7ae1c1,AMD Threadripper 1900X,99.99,8,3.8,4.0,180,,1
2c20c4a9-eae7-42b4-94d1-ec3360eb71df,AMD Ryzen 7 3800XT,399.0,8,3.9,4.7,105,,1
79c66b76-7b9f-4249-a720-9eff02feb251,Intel Core i5-2500K,322.66,4,3.3,,95,Intel HD Graphics 3000,0
f44108dc-d674-4a77-8bd6-3a9730835e81,Intel Core i7-2600,130.88,4,3.4,,95,Intel HD Graphics 2000,1
0e708ddb-8ff1-49e9-9390-1ae7970cd148,AMD Ryzen 5 1400,110.0,4,3.2,3.4,65,,1
492255ee-7bb4-417d-80a6-c1c02d684457,Intel Core i5-8500,184.47,6,3.0,4.1,65,Intel UHD Graphics 630,0
88c28f1e-a840-4750-9f21-455819b97058,Intel Core i3-10105,99.95,4,3.7,4.4,65,Intel UHD Graphics 630,1
2dea58bc-ab97-4ca4-b125-94769152c011,Intel Core i5-3570K,97.0,4,3.4,,77,Intel HD Graphics 4000,0
6a0a75e2-51cb-4332-b56a-969cf0d840d9,Intel Core i7-9700KF,310.0,8,3.6,4.9,95,,0
09173154-ff83-456f-bba5-b072467b702c,Intel Celeron G4930,76.0,2,3.2,,54,Intel UHD Graphics 610,0
928ff8ad-5d19-423b-9a29-3b0d6445d3e7,AMD Ryzen 9 3950X,2147.03,16,3.5,4.7,105,,1
89170137-86eb-4bef-9d04-988c75e77e41,Intel Core i3-7350K,60.0,2,4.2,,60,Intel HD Graphics 630,1
1f4c738c-34c7-4e32-b1a8-0ed0468b5636,Intel Core i5-4690,87.99,4,3.5,3.9,84,Intel HD Graphics 4600,0
5ad94fb8-814b-4899-a27b-ed19e6b4b7eb,Intel Core i5-4570,135.94,4,3.2,,84,Intel HD Graphics 4600,0
359ddf0f-e113-41fb-89c8-698633a835c3,Intel Core i5-9600KF,220.12,6,3.7,4.6,95,,0
1c0f8c15-8535-4504-b933-ed37c18f931c,AMD Ryzen 5 1500X,225.0,4,3.5,3.7,65,,1
b7898bca-a0c6-450e-ab42-7489727c2fa8,Intel Xeon E5-2660,21.99,8,2.2,3.0,95,,1
94c4ee80-1762-49d7-bd88-b4298b5f6db4,Intel Core i3-6100,100.0,2,3.7,,51,Intel HD Graphics 530,1
a9851c16-2cbe-427a-ac6b-b0c911d6fa11,Intel Core i3-4150,48.0,2,3.5,,54,Intel HD Graphics 4400,1
230a3e99-d485-468e-a627-1a4ee10fcc39,Intel Core i9-10900X,610.0,10,3.7,4.7,165,,1
e607f36b-efa3-4860-b308-a360c6fe8592,AMD Ryzen 7 1800X,295.0,8,3.6,4.0,95,,1
3848f3c2-32a5-40f0-81de-4e68e27b469f,Intel Core i7-4790K,200.0,4,4.0,4.4,88,Intel HD Graphics 4600,1
0d5e0443-2f06-4192-8fc8-0bbb3e54e36a,Intel Core i5-2400,,4,3.1,,95,Intel HD Graphics 2000,0
7644a584-6510-477a-8d65-504074e1f166,AMD Ryzen 5 3500,,6,3.6,4.1,65,,0
43a694f1-d537-4652-88b2-cf9015c9157d,Intel Celeron G5925,36.97,2,3.6,,58,Intel UHD Graphics 610,0
10bf970b-78a5-4090-8743-fe4c676854b8,Intel Core 2 Duo E8400,27.55,2,3.0,,65,,0
7ecd6574-1e74-4e2e-b2cd-82020507c03f,Intel Xeon E5-2650 V4,79.0,12,2.2,2.9,105,,1
e2a98f19-4cb9-4986-9a13-77a874097847,Intel Core i7-6800K,140.0,6,3.4,3.6,140,,1
42fd875b-a8e3-4d36-a2d5-fde18a8a46a0,Intel Core i5-6600,,4,3.3,3.9,65,Intel HD Graphics 530,0
504f14d6-a6ec-4256-80af-b730ed4c00d4,AMD Threadripper 1920X,270.0,12,3.5,4.0,180,,1
aeb4e703-4262-494a-aacc-78102e8acd4c,Intel Core i7-5820K,,6,3.3,3.6,140,,1
cfcd63a7-9943-4f31-aca7-bfeb659301f1,AMD FX-8320,125.0,8,3.5,,125,,0
39920a01-392f-48e6-8772-2ecf373bbab5,Intel Core i7-6900K,160.0,8,3.2,3.7,140,,1
63e14a05-349d-4fa4-beeb-1eda8224d359,Intel Core i7-8700K,375.04,6,3.7,4.7,95,Intel UHD Graphics 630,1
5718f74b-29c7-4a91-bf2f-ff8dbdc0acc4,AMD Athlon II X2 240,29.48,2,2.8,,65,,0
a9b7ede3-eab7-4a88-84dc-6da015fc4e06,Intel Core i9-12900,451.0,16,2.4,5.1,65,Intel UHD Graphics 770,1
1e7e0850-9f00-410b-9fdd-0d4340af9bf2,AMD Threadripper 2950X,1074.97,16,3.5,4.4,180,,1
1d711e35-7fe8-4549-8d25-23cbae773e3c,Intel Pentium Gold G6400,63.9,2,4.0,,58,Intel UHD Graphics 610,1
4b2bcf89-9fa9-479a-8de5-5ed248fbc7bb,Intel Xeon E5-2640 V3,38.04,8,2.6,3.4,90,,1
67259966-593c-497d-8723-950624dc007e,AMD Ryzen 9 PRO 7945,,12,3.7,5.4,65,Radeon,1
aa11bb00-bc4b-4263-92fb-e9a4aaf88052,Intel Core i9-12900F,429.99,16,2.4,5.1,65,,1
30225c60-2b14-4d79-bdaf-ed574888042b,Intel Core i7-2600K,115.0,4,3.4,,95,Intel HD Graphics 3000,1
cde8f83c-610e-47f3-bf1f-d979b8558905,Intel Core i9-10900F,307.48,10,2.8,5.2,65,,1
868e5b59-b792-409e-a1a8-300ece7e1d32,Intel Core i5-10500,238.99,6,3.1,4.5,65,Intel UHD Graphics 630,1
96733aec-aea4-43a3-8664-ba37f15beac7,AMD Threadripper 2990WX,2500.0,32,3.0,4.2,250,,1
80586af2-ca50-4728-b983-52a2dd5302fb,Intel Core i5-4670K,158.9,4,3.4,,84,Intel HD Graphics 4600,0
9d5e8e74-749b-47da-9489-f22405beecba,AMD Threadripper 2920X,199.95,12,3.5,4.3,180,,1
095fc450-ee13-4900-bf33-434f7a655288,Intel Core i3-9100,148.0,4,3.6,4.2,65,Intel UHD Graphics 630,0
55a7262b-4841-4542-a8ed-e279670fcfab,Intel Core i5-7600,125.0,4,3.5,4.1,65,Intel HD Graphics 630,0
