id,display_name,price,type,efficiency,wattage,modular,colour
4007ddb8-1520-455e-9452-f7e716a6d1cb,EVGA SuperNOVA 750 G5,124.99,ATX,gold,750,Full,Black / Green
843f8721-fc83-4933-a642-e098d5e52e64,SeaSonic PRIME TX,514.99,ATX,titanium,1600,Full,Black / Silver
e5489362-381c-4a2d-aa8d-40bf91bc08db,SeaSonic VERTEX GX-1200,229.99,ATX,gold,1200,Full,Black / Silver
2bc95fda-3b99-4d0c-9f72-cac93cc9e683,Asus ROG-STRIX-850G,139.99,ATX,gold,850,Full,Black
36f34d96-e9de-42f2-9b2f-e40620f554d8,EVGA SuperNOVA 1300 GT,189.99,ATX,gold,1300,Full,Black
95d75071-d9aa-4619-81e3-96aa7a875c53,SeaSonic FOCUS Plus Platinum,189.99,ATX,platinum,850,Full,
08eff3a3-e0a8-4fa3-b260-249a2882e02f,Aerocool Integrator,,ATX,bronze,500,False,Black
2c4176e6-c3b1-4cda-8e3e-2acbc368b13b,Thermaltake Toughpower iRGB PLUS,,ATX,titanium,1250,Full,
74ca8a6c-16fc-4f02-9baf-c0fcde3c5b8a,be quiet! System Power 10,135.0,ATX,bronze,750,False,Black
d5ac531e-5632-4427-a189-4a5c7298a7a4,Gigabyte P550B,69.99,ATX,bronze,550,False,Black
f527218f-8221-4b62-bdda-eb334a63f5f0,Phanteks AMP v2,129.99,ATX,gold,1000,Full,Black
ee983f94-de30-472c-8955-22d64b07798c,MSI MPG A750GF WHITE,208.0,ATX,gold,750,Full,White
0b232656-1df5-48a6-8fa3-2c069442302b,Cooler Master MWE Bronze V2,473.0,ATX,bronze,650,False,Black
df817cc1-037e-487c-89b9-13e11de29cc2,be quiet! Straight Power 12,229.9,ATX,platinum,1000,Full,Black
2fe75ffa-07a1-4801-a141-6ef990172835,Silverstone SFX,206.0,SFX,titanium,800,Full,
c624cce8-5084-4854-bd56-070a6aeb8104,SeaSonic FOCUS Plus Platinum,159.99,ATX,platinum,750,Full,
871f2cf6-6526-433d-9e1f-d0eebf6caf0e,EVGA 750 N1,65.8,ATX,,750,False,
d5a6f423-2bff-4aab-9eff-948cbac636d7,Lian Li SP850,124.99,SFX,gold,850,Full,Black
bbd21add-9e0d-4852-be60-486e6ff3bb50,SeaSonic FOCUS GX,204.14,ATX,gold,1000,Full,Black
befb046d-f09d-44fb-8c4a-c8642149df69,EVGA SuperNOVA 850 GM,161.9,SFX,gold,850,Full,Black
ecb5374d-8533-49b8-9def-30f8e976bb80,Asus TUF Gaming 850G,200.0,ATX,gold,850,Full,Black
1c8f8d4a-b353-4bf5-8099-aa2d8eb6053b,MSI MAG A650GL,89.99,ATX,gold,650,Full,Black
