id,display_name,price,capacity,type,cache_size,form_factor,interface
de01366d-486e-4528-a036-44651aa1243e,TEAMGROUP T-Force Cardea A440 Pro,92.99,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
b52b1360-e492-4ce6-9dfb-5a62c95deab6,Western Digital Blue,70.13,1000.0,SSD,,2.5,SATA 6.0 Gb/s
694a46e2-7aa8-4915-85e7-e75711cda365,MSI SPATIUM M461,169.99,4000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
090f104d-54f6-458b-b117-0695b05b4713,Western Digital Green SN350,73.11,2000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
c0e3f890-5fe4-404f-861a-742b778c01f1,Samsung 980,39.95,500.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
cb8d3583-ffea-4dac-beea-0e4ff758a81d,Lexar NM620,102.69,1000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
bb52e4cc-5613-4287-9bdc-4fe056a7fbdd,Samsung 860 Evo,75.04,500.0,SSD,512.0,2.5,SATA 6.0 Gb/s
eb691d74-20d8-4562-be72-267901574dc1,Samsung 980 Pro w/Heatsink,79.98,1000.0,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
00088327-1444-47be-8bf7-cfeceebf70d1,Western Digital Black SN850X w/Heatsink,139.99,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
a353e682-b9d6-4c4e-b95f-5827636221c7,Samsung 850 Evo,,250.0,SSD,,2.5,SATA 6.0 Gb/s
73bac57f-931c-4b53-9dbc-62d06ec6398f,Patriot P300,20.99,256.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
a7170468-a700-4a74-8906-20b74ce7f873,Western Digital Blue SN570,94.99,2000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
87b563e5-da6c-46a4-8014-bf85ac482145,MSI SPATIUM M461,44.99,1000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
105b4d8f-1ce7-4a25-a68b-cb6130f40603,Crucial MX500,34.9,500.0,SSD,512.0,2.5,SATA 6.0 Gb/s
65ca0602-b340-4b6e-b98b-7f33378ce3dc,MSI SPATIUM M570 HS,269.99,2000.0,SSD,4096.0,M.2-2280,M.2 PCIe 5.0 X4
a661a933-d42b-4e34-a94c-837786b29df1,ADATA XPG GAMMIX S70 Blade,64.98,1000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
630db0ed-6160-4b99-8929-bc345e87d4b1,Seagate FireCuda 530,143.01,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
f6958f89-2c45-4f60-913f-04785689cc8d,Western Digital Blue,72.99,4000.0,5400,256.0,3.5,SATA 6.0 Gb/s
a3d893a2-c2e7-44b5-b7ae-7e19c7b9e724,Silicon Power XS70,94.99,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
9a56a0a0-74b2-4af4-9c58-45673c6bcf75,Leven JPS600,69.98,2000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
dd871fa5-8558-4eef-88df-610050cdb6dd,Silicon Power P34A60,27.97,512.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
56d6977c-c97f-4530-9084-6b029dbfb2d9,Seagate Exos X18,295.11,18000.0,7200,256.0,3.5,SATA 6.0 Gb/s
babd6d8c-0743-4a22-82ea-983ad5e181ca,Patriot Burst Elite,13.99,120.0,SSD,,2.5,SATA 6.0 Gb/s
4bdddb7e-e3a7-4f0b-b9a6-067c806f089c,Seagate IronWolf NAS,159.99,8000.0,7200,256.0,3.5,SATA 6.0 Gb/s
083bc604-5e86-485d-8ed6-ee8ecb427114,Lexar NM790,96.89,1000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
c4a35a2e-d866-471f-8608-a6b2698361b3,Crucial MX500,216.98,4000.0,SSD,,2.5,SATA 6.0 Gb/s
ad5101be-beaa-4b82-965c-360b3d041ae8,Samsung 870 QVO,119.99,2000.0,SSD,,2.5,SATA 6.0 Gb/s
cf9bbd35-ba11-4c34-a73d-68ba7fe5e433,Kingston A400,55.5,960.0,SSD,,2.5,SATA 6.0 Gb/s
7f68269b-c1c6-45c8-bff5-ddcf734a8694,Lexar NM790,188.99,4000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
7d614698-dc97-43ef-87a8-5555459b800a,Sabrent Rocket 4 Plus,349.99,4000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
6139cf84-7f73-453f-8aaa-ed9e464de223,Crucial BX500,79.98,2000.0,SSD,,2.5,SATA 6.0 Gb/s
